IsMine;Message
1;Rendez-vous confirmé pour demain à 10h.
0;N'oubliez pas de signer le contrat avant la fin de la journée.
1;Le rapport mensuel est prêt à être envoyé.
0;La réunion prévue pour cet après-midi est annulée.
1;Nous avons atteint nos objectifs de vente ce trimestre.
0;Il y a un problème avec le serveur, quelqu'un peut-il vérifier ?
1;Les résultats de l'enquête sont disponibles, consultez-les dans le dossier partagé.
0;Il semble y avoir une erreur dans la feuille de calcul, pouvez-vous la réviser ?
1;Le client a confirmé sa participation à la conférence.
0;Nous avons besoin de volontaires pour aider lors de l'événement de charité.
1;La nouvelle version du logiciel est prête à être déployée.
0;La date limite pour soumettre les rapports est reportée à la fin de la semaine prochaine.
1;Merci à tous pour votre travail acharné cette semaine.
0;Le système de paiement en ligne est en panne, nous travaillons à le résoudre.
1;N'oubliez pas de remplir le formulaire de demande de congé pour le mois prochain.
0;Nous avons besoin de plus de participants pour le sondage, veuillez le partager.
1;Le projet avance selon le planning, continuons sur cette lancée.
0;Certains membres de l'équipe ont signalé des problèmes de connexion au réseau.
1;Les résultats de l'étude de marché sont prometteurs pour notre produit.
0;Le fournisseur a informé d'un retard dans la livraison des fournitures.
1;Les nouveaux locaux sont prêts, nous déménagerons le mois prochain.
1;Le programme de formation pour les nouveaux employés est prêt à être lancé.
0;Il y a une erreur dans le code, nous avons besoin d'une correction urgente.
1;La réunion avec le client est confirmée pour jeudi prochain.
0;La présentation de vente doit être mise à jour avec les dernières données.
1;La campagne publicitaire a été un succès, les ventes ont augmenté de 20 %.
0;Il y a eu une fuite dans le bureau, veuillez faire attention aux câbles.
1;Le serveur de messagerie a été mis à jour avec les dernières corrections de sécurité.
0;Il y a une réunion d'urgence prévue pour discuter de la baisse des ventes.
1;Les rapports trimestriels doivent être finalisés d'ici la fin de la semaine.
0;Le système de gestion des stocks a planté, nous travaillons à sa restauration.
1;Nous recherchons des volontaires pour participer au comité de bien-être de l'entreprise.
0;Certains employés se plaignent de problèmes de performance sur leur ordinateur.
1;Le service client a reçu des éloges pour sa réactivité.
0;La présentation du projet doit être modifiée en fonction des nouvelles exigences.
1;L'application mobile est prête à être lancée sur le marché.
0;Le département des ressources humaines organise une séance de formation sur la diversité.
1;Le plan de communication pour le nouveau produit est finalisé.
0;Le parking sera fermé pour des travaux de rénovation ce week-end.
1;Le plan de relance après la crise sanitaire est en cours de développement.
0;Il y a une interruption de service prévue pour la maintenance du serveur.
1;L'équipe de développement a réussi à résoudre le problème de performance.
0;Nous avons besoin de plus de participants pour le focus group, merci de vous inscrire.
1;Le projet pilote a été un succès, nous allons le déployer à grande échelle.
0;Il y a eu une fuite dans la salle de conférence, veuillez la signaler à la maintenance.
1;Le processus de recrutement pour le nouveau poste est en cours.
0;Le fournisseur a signalé un retard dans la livraison des matières premières.
1;La session de brainstorming prévue pour demain est annulée.
0;Certains employés ont signalé des problèmes d'accès aux fichiers partagés.
1;Les résultats de l'étude de satisfaction des clients sont positifs.
0;La réunion avec le fournisseur est reportée à la semaine prochaine.
1;Nous avons besoin de volontaires pour aider à organiser la fête de fin d'année.
0;La réunion hebdomadaire est déplacée à un autre horaire, veuillez en prendre note.
1;Les nouvelles fonctionnalités de l'application ont été bien accueillies par les utilisateurs.
0;Nous avons détecté une faille de sécurité dans le système informatique, une mise à jour est nécessaire.
1;Le comité de direction se réunira demain pour discuter de la stratégie de l'entreprise.
0;Le système de facturation a planté, veuillez informer le service informatique.
1;Le rapport sur les tendances du marché est prêt à être présenté au comité exécutif.
0;Le projet est en retard, nous devons revoir le planning.
1;Nous avons besoin de bénévoles pour participer à l'événement caritatif de ce week-end.
0;Certains employés se plaignent de problèmes de connexion au VPN.
1;Les nouveaux horaires de travail entreront en vigueur à partir du mois prochain.
0;Il y a eu une augmentation du nombre de tickets de support client, nous devons enquêter.
1;Le protocole de sécurité a été mis à jour, veuillez en prendre connaissance.
0;Le fournisseur a informé d'une augmentation des prix pour le prochain lot de marchandises.
1;La formation sur la gestion du stress est prévue pour cet après-midi.
0;Le rapport financier doit être révisé avant d'être présenté au conseil d'administration.
1;Le système de réservation en ligne sera mis à jour ce week-end.
0;Certains employés se plaignent de problèmes de confort dans l'espace de travail.
1;La vidéo de présentation du produit est prête à être partagée avec les clients.
0;Nous avons besoin de plus de participants pour le groupe de discussion sur le nouveau produit.
1;L'audit interne a été achevé avec succès, aucune anomalie n'a été détectée.
0;La réunion avec les investisseurs est annulée en raison d'un conflit d'agenda.
1;Les nouveaux horaires de travail seront affichés dans les prochains jours.
0;Il y a eu une panne de courant dans le bâtiment, veuillez sauvegarder votre travail.
1;Le programme de formation sur la diversité sera lancé le mois prochain.
0;Le système de réservation de salles de réunion est en panne, veuillez en informer la réception.
1;Les résultats de l'étude de marché seront présentés lors de la réunion de demain.
0;Le rapport sur les dépenses doit être soumis avant la fin de la journée.
1;Le projet de refonte du site web est sur le point d'être lancé.
0;Certains clients se plaignent de retards dans les livraisons, nous devons enquêter.
1;La réunion hebdomadaire est prévue pour demain à 9h.
0;Nous avons besoin de volontaires pour aider lors de l'événement caritatif.
1;Le rapport mensuel doit être finalisé avant la fin de la semaine.
0;Il y a eu une interruption de service, le réseau est actuellement hors ligne.
1;Les nouvelles fonctionnalités de l'application ont été bien accueillies par les utilisateurs.
0;Nous avons détecté une faille de sécurité dans le système, nous travaillons à sa correction.
1;La séance de brainstorming est reportée à la semaine prochaine.
0;Certains employés se plaignent de problèmes d'accès aux ressources partagées.
1;La formation sur la gestion du temps est prévue pour cet après-midi.
0;Le fournisseur a signalé un retard dans la livraison des fournitures.
1;Le projet de développement est en avance sur le planning.
0;Nous avons besoin de revoir notre stratégie de marketing, les résultats ne sont pas satisfaisants.
1;Le système de réservation en ligne sera mis à jour ce week-end.
0;Il y a eu une augmentation du nombre de plaintes clients, nous devons enquêter.
1;Les résultats de l'étude de marché sont prometteurs pour notre produit.
0;Le système de gestion des stocks a planté, veuillez contacter le support technique.
1;L'équipe de développement a résolu le problème de performance.
0;Il y a une réunion d'urgence prévue pour discuter de la crise actuelle.
1;La réunion avec le client est confirmée pour jeudi prochain.
0;La présentation du projet doit être mise à jour en fonction des nouvelles exigences.
1;Le programme de formation sur la sécurité informatique est lancé.
0;Nous avons besoin de plus de participants pour le groupe de discussion sur le nouveau produit.
1;Les nouveaux horaires de travail seront affichés dans les prochains jours.
0;Il y a eu une panne de courant dans le bâtiment, veuillez sauvegarder votre travail.
1;Le plan de communication pour le lancement du produit est finalisé.
0;Certains clients se plaignent de problèmes de facturation, nous devons résoudre cela rapidement.
1;La réunion avec les investisseurs est confirmée pour la semaine prochaine.
0;Le système de réservation de salles de réunion est en panne, veuillez contacter la réception.
1;Nous recherchons des bénévoles pour participer à l'événement caritatif.
0;Le rapport sur les dépenses doit être soumis avant la fin de la journée.
1;Le projet de refonte du site web est sur le point d'être lancé.
0;Certains employés se plaignent de problèmes de connexion au réseau.
1;L'audit interne a été achevé avec succès, aucune anomalie n'a été détectée.
0;La réunion hebdomadaire est annulée en raison d'un conflit d'agenda.
1;Les résultats de l'enquête de satisfaction sont positifs.
0;Il y a eu une fuite dans la salle de conférence, veuillez contacter la maintenance.
1;La séance de brainstorming est confirmée pour demain matin.
0;Certains clients se plaignent de problèmes de livraison, nous devons enquêter.
1;Le programme de formation sur la diversité sera lancé le mois prochain.
0;Le système de facturation est en panne, veuillez informer le service informatique.
1;La présentation du projet est prête à être partagée avec l'équipe.
0;Nous avons besoin de revoir notre politique de remboursement, les clients sont mécontents.
1;Le serveur de messagerie a été mis à jour avec succès.
0;Il y a une erreur dans le code, nous avons besoin d'une correction urgente.
1;La réunion avec le client est reportée à la semaine prochaine.
0;Le département des ventes a signalé une baisse des commandes, nous devons agir.
1;Le projet avance selon le planning prévu.
0;Il y a eu une panne électrique dans le bureau, veuillez sauvegarder vos données.
1;Le rapport sur les tendances du marché sera présenté lors de la réunion de demain.
0;Certains employés se plaignent de problèmes de connexion à distance.
1;Le programme de formation sur la sécurité informatique est obligatoire pour tous les employés.
0;La réunion avec les partenaires est annulée en raison d'une urgence.
1;La réunion de lancement du projet est confirmée pour cet après-midi.
0;Le serveur de messagerie est en panne, veuillez utiliser des moyens de communication alternatifs.
1;Les nouveaux horaires de travail seront affichés sur l'intranet.
0;Certains clients se plaignent de problèmes de qualité des produits, nous devons enquêter.
1;Le projet pilote a été un succès, nous allons l'étendre à d'autres départements.
